81.85	-93.07	-
-57.44	82.69	+
70.94	-53.83	-
-67.42	10.47	-
-87.72	-71.36	-
-70.49	-35.55	-
32.67	82.76	+
-97.79	82.76	+
56.45	63.63	+
50.31	-83.0	-
52.62	-11.24	+
56.96	-21.96	+
-85.37	32.87	-
34.66	82.71	+
-28.15	67.35	+
-91.54	40.15	-
40.6	5.78	+
50.04	27.59	+
-81.24	37.68	-
68.26	-75.49	-
29.25	39.74	+
-76.02	-32.16	-
47.1	-31.68	+
-38.74	-77.05	-
1.09	-54.33	-
70.73	-86.27	-
63.21	21.25	+
20.74	20.1	+
3.91	-6.68	-
99.87	-99.86	-
8.45	-21.03	-
52.67	-60.87	-
22.7	-57.18	-
-76.92	74.22	+
-32.36	-97.67	-
-52.62	12.8	-
53.15	46.12	+
-41.8	-81.57	-
-46.24	95.94	+
57.02	-94.21	-
-14.61	-5.55	-
35.19	83.88	+
-79.26	8.1	-
-88.57	67.18	+
-11.68	-1.97	-
85.05	89.0	+
-86.87	-37.09	-
-0.14	-95.76	-
-23.79	24.14	+
-7.33	61.97	+
95.46	44.66	+
69.06	-40.67	+
-50.59	54.91	+
-34.26	-34.06	-
55.5	62.84	+
54.28	84.38	+
30.24	10.93	+
-18.7	29.95	+
57.81	-82.25	-
57.89	82.56	+
-18.7	-52.12	-
47.79	89.07	+
6.23	-34.81	-
61.48	-4.47	+
15.09	29.91	+
-65.85	-16.95	-
44.98	-30.57	-
91.76	80.09	+
-42.42	82.3	+
44.05	-82.35	-
98.94	65.92	+
5.48	38.15	+
-69.67	18.14	-
-40.74	-86.88	-
-75.15	45.1	-
88.17	-26.18	+
42.14	-75.91	-
-83.29	26.76	-
36.81	17.95	+
7.23	11.81	+
78.83	-58.36	-
-90.84	6.53	-
-22.74	92.3	+
29.25	-46.76	-
-88.14	-36.99	-
59.09	19.77	+
-25.36	57.22	+
39.87	74.68	+
-79.96	-52.23	-
54.49	50.86	+
-20.06	75.73	+
-98.76	3.16	-
-44.17	-42.97	-
-32.13	68.08	+
61.98	85.01	+
-2.91	13.16	+
-51.05	-87.91	-
43.84	-15.72	+
-90.9	-48.93	-
95.64	82.22	+
-73.29	24.01	-
-99.89	-41.08	-
-40.22	3.97	-
79.04	-57.62	-
-63.51	66.5	+
-5.64	43.79	+
-95.33	84.18	+
89.3	-24.07	+
24.76	17.42	+
-49.3	20.22	-
-54.35	65.66	+
-98.26	36.78	-
-35.64	10.77	-
98.16	-97.8	-
74.72	73.93	+
-18.54	73.35	+
83.79	29.95	+
0.02	78.81	+
-87.29	98.66	+
-85.67	54.25	-
-15.94	-67.17	-
-38.25	-72.47	-
-46.54	0.94	-
-25.53	70.2	+
24.08	44.45	+
65.78	-18.88	+
-89.55	-26.98	-
25.49	-19.33	-
-47.48	-9.33	-
85.91	-58.77	-
31.99	86.4	+
5.99	-18.46	-
65.94	-57.36	-
-23.13	32.79	+
87.42	-37.97	+
-27.1	40.32	+
-30.62	-23.78	-
-66.41	-71.62	-
-65.61	62.23	+
89.29	53.21	+
36.36	56.69	+
-24.68	67.56	+
84.12	82.14	+
-56.0	-50.51	-
21.22	43.78	+
-33.84	-46.5	-
-92.38	-91.72	-
-90.64	-52.19	-
25.15	32.96	+
-18.05	23.02	+
-32.27	-25.92	-
17.32	71.81	+
43.68	72.06	+
-68.94	64.49	+
-28.52	48.82	+
-89.76	17.3	-
-59.25	88.98	+
-70.72	-28.41	-
-34.98	83.59	+
19.66	82.67	+
94.25	14.92	+
19.11	70.44	+
52.33	-93.68	-
-42.16	94.18	+
-91.41	-54.2	-
55.49	75.76	+
-13.27	-17.47	-
63.38	86.57	+
-59.07	74.6	+
64.8	-37.57	+
5.46	-71.23	-
-65.27	96.65	+
5.86	-52.65	-
-88.75	93.58	+
-50.69	56.04	+
48.57	-77.62	-
-85.31	15.11	-
-5.32	-51.86	-
38.86	-71.36	-
-40.1	-15.75	-
99.99	-78.5	-
-77.26	-33.08	-
-89.64	44.66	-
27.04	-97.6	-
24.18	-91.96	-
-36.11	-64.5	-
78.59	-33.09	+
65.02	-73.18	-
-33.4	53.8	+
77.19	-32.5	+
-93.43	-60.71	-
15.6	-37.39	-
-5.99	-68.98	-
11.92	81.33	+
44.82	61.64	+
-10.7	52.09	+
98.25	74.07	+
27.45	97.66	+
29.34	41.1	+
28.97	93.96	+
41.14	-35.6	-
-3.54	4.52	+
-28.55	38.08	+
-46.53	-5.35	-
-67.05	-50.21	-
62.27	83.86	+
-1.55	31.42	+
32.59	-88.84	-
93.97	-96.05	-
70.33	60.94	+
-36.05	10.17	-
1.49	-56.99	-
11.56	-83.3	-
92.75	-34.68	+
-57.3	-73.66	-
40.86	50.86	+
-68.43	7.87	-
-58.5	75.14	+
-0.85	30.88	+
29.81	-45.46	-
