64.79	-8.99	+
-57.2	7.51	-
-15.84	-37.87	-
50.3	27.7	+
-95.98	-61.8	-
-38.95	20.94	-
16.75	13.61	+
34.91	59.25	+
-15.06	-27.84	-
15.93	-93.23	-
33.87	81.85	+
55.83	71.08	+
88.63	-97.71	-
43.26	21.14	+
-80.99	58.04	+
-90.72	-96.62	-
24.29	70.77	+
-23.69	-75.53	-
34.02	-52.27	-
-29.78	79.28	+
66.39	-81.23	-
-77.86	29.54	-
45.68	12.44	+
92.0	93.08	+
28.27	40.26	+
-50.87	-7.56	-
81.5	-8.18	+
98.05	-93.29	-
-76.11	13.19	-
-84.77	56.09	+
76.27	25.53	+
-16.81	37.63	+
-48.78	-81.0	-
47.94	-90.41	-
-17.79	-71.33	-
27.43	2.62	+
88.17	-13.94	+
-32.81	61.98	+
75.87	42.37	+
29.52	-94.58	-
52.22	-65.17	-
86.9	31.55	+
80.34	-63.66	-
-95.36	-43.41	-
26.55	-90.98	-
6.23	0.79	+
4.58	62.29	+
1.01	49.59	+
4.86	15.14	+
-14.71	-73.37	-
59.31	-15.09	+
-16.17	75.94	+
-20.0	-43.46	-
-60.85	13.22	-
76.78	33.23	+
-72.68	93.22	+
81.64	-22.26	+
-56.58	93.29	+
94.23	-86.36	-
-19.91	-39.29	-
67.81	-6.65	+
-58.6	97.25	+
-49.16	-0.56	-
3.1	4.03	+
-6.91	-41.45	-
-95.05	-45.84	-
21.95	41.38	+
-8.36	-32.89	-
78.75	-58.14	-
81.23	-13.3	+
-77.37	11.6	-
3.79	52.6	+
75.94	82.41	+
28.05	-17.87	+
-88.14	46.94	-
-84.01	-7.65	-
-92.29	-17.1	-
-42.99	81.09	+
-50.4	-22.27	-
27.67	-82.4	-
-91.21	-47.57	-
-39.97	3.8	-
-53.52	48.91	+
-34.02	38.56	+
-58.67	59.41	+
-38.44	-51.36	-
61.17	5.42	+
53.83	-3.26	+
13.08	60.42	+
53.09	28.82	+
-71.85	-20.53	-
-80.21	23.09	-
39.67	-75.54	-
21.64	49.81	+
-31.75	-38.7	-
-38.74	15.91	-
-15.03	30.15	+
21.43	-40.69	-
86.83	1.56	+
18.64	-90.78	-
-94.49	-5.95	-
-89.01	-15.4	-
-15.19	38.54	+
-97.07	56.87	-
98.88	75.45	+
95.66	64.98	+
19.28	67.9	+
-15.93	11.85	+
-40.82	-76.04	-
-65.63	94.73	+
-21.82	27.35	+
49.17	-89.7	-
85.09	-40.29	+
-59.17	45.88	+
-97.41	-11.37	-
-74.75	82.97	+
9.55	-50.86	-
12.76	92.08	+
1.53	87.35	+
17.42	55.15	+
-26.61	-32.47	-
-26.3	-97.33	-
32.71	75.14	+
71.78	-82.09	-
60.45	14.82	+
97.65	-91.12	-
-66.55	12.4	-
38.4	56.28	+
-75.16	-24.14	-
-1.28	85.35	+
-73.23	53.51	+
-42.77	-23.27	-
88.04	11.43	+
-44.16	-86.71	-
-55.05	-39.65	-
99.99	57.69	+
-53.73	-17.2	-
-28.9	37.87	+
-3.7	-93.97	-
-87.56	11.4	-
91.56	-50.38	+
26.42	33.1	+
16.84	12.61	+
88.65	27.63	+
-92.57	84.85	+
3.25	-37.65	-
57.11	14.56	+
76.01	2.05	+
11.38	-92.18	-
-45.1	81.81	+
-78.51	-97.23	-
43.1	81.79	+
72.26	38.62	+
13.58	-74.13	-
99.44	65.62	+
33.61	87.33	+
-65.75	-34.55	-
-50.93	35.87	+
69.53	15.53	+
19.24	20.03	+
22.49	88.08	+
54.44	91.82	+
27.54	-76.79	-
8.47	-94.64	-
38.22	-74.34	-
-74.85	-76.38	-
52.24	4.94	+
78.93	16.31	+
61.91	58.56	+
-8.1	-50.74	-
6.37	-62.78	-
25.96	-46.29	-
28.13	4.65	+
4.24	11.31	+
87.03	6.47	+
-96.07	-39.62	-
-25.99	-59.74	-
72.24	-98.84	-
-2.76	14.17	+
-44.06	85.58	+
-34.97	-10.01	-
70.88	88.5	+
-4.87	-60.17	-
89.52	35.37	+
-56.53	-18.68	-
85.87	3.96	+
20.69	-30.73	-
79.05	-76.09	-
41.76	-29.65	-
-97.98	10.51	-
-97.89	-60.19	-
13.32	-41.62	-
-63.22	-90.78	-
-61.46	-95.91	-
2.14	-70.37	-
29.29	-99.3	-
12.7	-80.87	-
-68.31	16.79	-
-18.7	-35.35	-
-24.42	-19.96	-
